"Date","Price","Open","High","Low","Change %"
"02/17/2026","98.92","98.92","98.92","98.92","-0.03%"
"02/16/2026","98.95","98.95","98.95","98.95","0.00%"
"02/14/2026","98.95","98.99","98.95","98.95","-0.04%"
"02/13/2026","98.99","98.99","98.99","98.99","0.03%"
"02/12/2026","98.96","98.96","98.96","98.96","-0.07%"
"02/11/2026","99.03","99.03","99.03","99.03","0.04%"
"02/10/2026","98.99","98.99","98.99","98.99","0.00%"
"02/09/2026","98.99","98.99","98.99","98.99","0.03%"
"02/07/2026","98.96","98.95","98.96","98.96","0.01%"
"02/06/2026","98.95","98.95","98.95","98.95","-0.49%"
"02/05/2026","99.44","99.44","99.44","99.44","0.58%"
"02/04/2026","98.87","98.85","98.87","98.87","0.02%"
"02/03/2026","98.85","98.85","98.85","98.85","-0.10%"
"02/02/2026","98.95","98.95","98.95","98.95","-0.26%"
"01/30/2026","99.21","99.21","99.21","99.21","0.44%"
"01/29/2026","98.78","98.78","98.78","98.78","-0.09%"
"01/28/2026","98.87","98.87","98.87","98.87","0.03%"
"01/27/2026","98.84","98.84","98.84","98.84","0.00%"
"01/26/2026","98.84","98.84","98.84","98.84","0.00%"
"01/23/2026","98.84","98.84","98.84","98.84","-0.06%"
"01/22/2026","98.90","98.90","98.90","98.90","0.19%"
"01/21/2026","98.71","98.71","98.71","98.71","-0.19%"
"01/20/2026","98.90","98.90","98.90","98.90","0.07%"
"01/19/2026","98.83","98.83","98.83","98.83","0.00%"
"01/16/2026","98.83","98.82","98.83","98.82","0.00%"
"01/15/2026","98.83","98.83","98.83","98.83","0.08%"
"01/14/2026","98.75","98.75","98.75","98.75","-0.05%"
"01/13/2026","98.80","98.80","98.80","98.80","0.03%"
"01/12/2026","98.77","98.77","98.77","98.77","-0.04%"
"01/09/2026","98.81","98.81","98.81","98.81","0.01%"
"01/08/2026","98.80","98.80","98.80","98.80","0.00%"
"01/07/2026","98.80","98.82","98.80","98.80","-0.02%"
"01/06/2026","98.82","98.82","98.82","98.82","-0.03%"
"01/05/2026","98.85","98.85","98.85","98.85","0.05%"
"01/02/2026","98.80","99.38","99.38","98.80","-0.07%"
"12/30/2025","98.87","98.87","98.87","98.87","0.05%"
"12/29/2025","98.82","98.82","98.82","98.82","-0.98%"
"12/23/2025","99.80","99.80","99.80","99.80","1.00%"
"12/22/2025","98.81","98.81","98.81","98.81","-0.08%"
"12/19/2025","98.89","98.89","98.89","98.89","0.03%"
"12/18/2025","98.86","98.86","98.86","98.86","0.01%"
"12/17/2025","98.85","98.88","99.07","98.85","0.09%"
"12/16/2025","98.76","98.76","98.76","98.76","-0.13%"
"12/15/2025","98.89","98.89","98.89","98.89","0.02%"
"12/12/2025","98.87","98.87","98.87","98.85","0.02%"
"12/11/2025","98.85","98.85","98.85","98.85","0.19%"
"12/10/2025","98.66","98.66","98.66","98.66","0.01%"
"12/09/2025","98.65","98.65","98.65","98.65","0.01%"
"12/08/2025","98.64","98.64","98.64","98.64","-0.04%"
"12/06/2025","98.68","98.71","98.68","98.68","-0.03%"
"12/05/2025","98.71","98.71","98.71","98.71","-0.05%"
"12/04/2025","98.76","98.76","98.76","98.76","-0.01%"
"12/03/2025","98.77","98.77","98.77","98.77","-0.01%"
"12/02/2025","98.78","98.78","98.78","98.78","-0.04%"
"12/01/2025","98.82","98.82","98.82","98.82","0.11%"
"11/28/2025","98.71","98.71","98.71","98.71","-0.04%"
"11/27/2025","98.75","98.75","98.75","98.75","0.08%"
"11/26/2025","98.67","98.81","98.81","98.67","-0.01%"
"11/25/2025","98.68","98.68","98.68","98.68","-0.04%"
"11/24/2025","98.72","98.68","98.72","98.72","0.04%"
"11/21/2025","98.68","98.68","98.68","98.68","0.09%"
"11/20/2025","98.59","98.60","98.59","98.59","0.06%"
"11/19/2025","98.53","98.60","98.53","98.53","-0.01%"
"11/18/2025","98.54","98.60","98.54","98.54","-0.06%"
"11/17/2025","98.60","98.60","98.60","98.60","0.02%"
"11/14/2025","98.58","98.64","98.58","98.58","-0.06%"
"11/13/2025","98.64","98.64","98.64","98.64","-0.05%"
"11/12/2025","98.69","98.69","98.69","98.69","0.09%"
"11/11/2025","98.60","98.61","98.60","98.60","-0.01%"
"11/10/2025","98.61","98.61","98.61","98.61","-0.04%"
"11/07/2025","98.65","98.65","98.65","98.65","0.10%"
"11/06/2025","98.55","98.56","98.56","98.55","0.16%"
"11/05/2025","98.39","98.53","98.39","98.39","-0.06%"
